"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
15614,118,"KEN","Kenya",1,"Central",4,"Murang'a",15,"Kangema",55,"Aberdare Forest and National Park","","Kata","Location"
15615,118,"KEN","Kenya",1,"Central",4,"Murang'a",15,"Kangema",56,"Gitugi","","Kata","Location"
15616,118,"KEN","Kenya",1,"Central",4,"Murang'a",15,"Kangema",57,"Iyego","","Kata","Location"
15617,118,"KEN","Kenya",1,"Central",4,"Murang'a",15,"Kangema",58,"Kamacharia","","Kata","Location"
15618,118,"KEN","Kenya",1,"Central",4,"Murang'a",15,"Kangema",59,"Kanyenyaini","","Kata","Location"
15619,118,"KEN","Kenya",1,"Central",4,"Murang'a",15,"Kangema",60,"Kiriti","","Kata","Location"
15620,118,"KEN","Kenya",1,"Central",4,"Murang'a",15,"Kangema",61,"Kiru","","Kata","Location"
15621,118,"KEN","Kenya",1,"Central",4,"Murang'a",16,"Kigumo",62,"Kamahuha","","Kata","Location"
15622,118,"KEN","Kenya",1,"Central",4,"Murang'a",16,"Kigumo",63,"Kigumo","","Kata","Location"
15623,118,"KEN","Kenya",1,"Central",4,"Murang'a",16,"Kigumo",64,"Kinyona","","Kata","Location"
15624,118,"KEN","Kenya",1,"Central",4,"Murang'a",16,"Kigumo",65,"Muthithi","","Kata","Location"
15625,118,"KEN","Kenya",1,"Central",4,"Murang'a",16,"Kigumo",66,"Nginda","","Kata","Location"
15626,118,"KEN","Kenya",1,"Central",4,"Murang'a",17,"Kiharu",67,"Gaturi","","Kata","Location"
15627,118,"KEN","Kenya",1,"Central",4,"Murang'a",17,"Kiharu",68,"Gikindu","","Kata","Location"
15628,118,"KEN","Kenya",1,"Central",4,"Murang'a",17,"Kiharu",69,"Mbiri","","Kata","Location"
15629,118,"KEN","Kenya",1,"Central",4,"Murang'a",17,"Kiharu",70,"Mugoiri","","Kata","Location"
15630,118,"KEN","Kenya",1,"Central",4,"Murang'a",17,"Kiharu",71,"Murarandia","","Kata","Location"
15631,118,"KEN","Kenya",1,"Central",4,"Murang'a",17,"Kiharu",72,"Weithaga","","Kata","Location"
15632,118,"KEN","Kenya",1,"Central",4,"Murang'a",18,"Makuyu",73,"Ithaanga","","Kata","Location"
15633,118,"KEN","Kenya",1,"Central",4,"Murang'a",18,"Makuyu",74,"Kakuzi","","Kata","Location"
15634,118,"KEN","Kenya",1,"Central",4,"Murang'a",18,"Makuyu",75,"Kambiti","","Kata","Location"
15635,118,"KEN","Kenya",1,"Central",4,"Murang'a",18,"Makuyu",76,"Makuyu","","Kata","Location"
15636,118,"KEN","Kenya",1,"Central",4,"Murang'a",18,"Makuyu",77,"Mitumbiri","","Kata","Location"
15637,118,"KEN","Kenya",1,"Central",4,"Murang'a",18,"Makuyu",78,"Samuru","","Kata","Location"
15638,118,"KEN","Kenya",1,"Central",5,"Nyandarua",19,"Kinangop",79,"Engineer","","Kata","Location"
15639,118,"KEN","Kenya",1,"Central",5,"Nyandarua",19,"Kinangop",80,"Magumu","","Kata","Location"
15640,118,"KEN","Kenya",1,"Central",5,"Nyandarua",19,"Kinangop",81,"Njabini","","Kata","Location"
15641,118,"KEN","Kenya",1,"Central",5,"Nyandarua",19,"Kinangop",82,"North Kinangop","","Kata","Location"
15642,118,"KEN","Kenya",1,"Central",5,"Nyandarua",19,"Kinangop",83,"Nyakio","","Kata","Location"
15643,118,"KEN","Kenya",1,"Central",5,"Nyandarua",20,"Kipipiri",84,"Geta","","Kata","Location"
15644,118,"KEN","Kenya",1,"Central",5,"Nyandarua",20,"Kipipiri",85,"Kipipiri","","Kata","Location"
15645,118,"KEN","Kenya",1,"Central",5,"Nyandarua",20,"Kipipiri",86,"Lereshwa","","Kata","Location"
15646,118,"KEN","Kenya",1,"Central",5,"Nyandarua",20,"Kipipiri",87,"Wanjohi","","Kata","Location"
15647,118,"KEN","Kenya",1,"Central",5,"Nyandarua",21,"Ndaragwa",88,"Kiriita","","Kata","Location"
15648,118,"KEN","Kenya",1,"Central",5,"Nyandarua",21,"Ndaragwa",89,"Leshau","","Kata","Location"
15649,118,"KEN","Kenya",1,"Central",5,"Nyandarua",21,"Ndaragwa",90,"Mathingira","","Kata","Location"
15650,118,"KEN","Kenya",1,"Central",5,"Nyandarua",21,"Ndaragwa",91,"Ndaragwa","","Kata","Location"
15651,118,"KEN","Kenya",1,"Central",5,"Nyandarua",21,"Ndaragwa",92,"Shamata","","Kata","Location"
15652,118,"KEN","Kenya",1,"Central",5,"Nyandarua",22,"Ol-Kalou",93,"Dundori","","Kata","Location"
15653,118,"KEN","Kenya",1,"Central",5,"Nyandarua",22,"Ol-Kalou",94,"Kaimbaga","","Kata","Location"
15654,118,"KEN","Kenya",1,"Central",5,"Nyandarua",22,"Ol-Kalou",95,"OL-KALOU","","Kata","Location"
15655,118,"KEN","Kenya",1,"Central",5,"Nyandarua",22,"Ol-Kalou",96,"Rurii","","Kata","Location"
15656,118,"KEN","Kenya",1,"Central",5,"Nyandarua",22,"Ol-Kalou",97,"Tumaini","","Kata","Location"
15657,118,"KEN","Kenya",1,"Central",5,"Nyandarua",23,"Ol Joro Orok",98,"Gathanji","","Kata","Location"
15658,118,"KEN","Kenya",1,"Central",5,"Nyandarua",23,"Ol Joro Orok",99,"Ol Joro Orok","","Kata","Location"
15659,118,"KEN","Kenya",1,"Central",6,"Nyeri",24,"Aberdare Forest and National Park",100,"Aberdare Forest and National Park","","Kata","Location"
15660,118,"KEN","Kenya",1,"Central",6,"Nyeri",25,"Kieni East",101,"Gakawa","","Kata","Location"
15661,118,"KEN","Kenya",1,"Central",6,"Nyeri",25,"Kieni East",102,"Kabaru","","Kata","Location"
15662,118,"KEN","Kenya",1,"Central",6,"Nyeri",25,"Kieni East",103,"Naro Moru","","Kata","Location"
15663,118,"KEN","Kenya",1,"Central",6,"Nyeri",26,"Kieni West",104,"Endarasha","","Kata","Location"
15664,118,"KEN","Kenya",1,"Central",6,"Nyeri",26,"Kieni West",105,"Gatarakwa","","Kata","Location"
15665,118,"KEN","Kenya",1,"Central",6,"Nyeri",26,"Kieni West",106,"Mweiga","","Kata","Location"
15666,118,"KEN","Kenya",1,"Central",6,"Nyeri",27,"Mathira",107,"Iria-ini","","Kata","Location"
15667,118,"KEN","Kenya",1,"Central",6,"Nyeri",27,"Mathira",108,"Karatina","","Kata","Location"
15668,118,"KEN","Kenya",1,"Central",6,"Nyeri",27,"Mathira",109,"Kirimukuyu","","Kata","Location"
15669,118,"KEN","Kenya",1,"Central",6,"Nyeri",27,"Mathira",110,"Konyu","","Kata","Location"
15670,118,"KEN","Kenya",1,"Central",6,"Nyeri",27,"Mathira",111,"Magutu","","Kata","Location"
15671,118,"KEN","Kenya",1,"Central",6,"Nyeri",27,"Mathira",112,"Ngorano","","Kata","Location"
15672,118,"KEN","Kenya",1,"Central",6,"Nyeri",27,"Mathira",113,"Ruguru","","Kata","Location"
15673,118,"KEN","Kenya",1,"Central",6,"Nyeri",28,"Mt. Kenya Forest and National Park",114,"Mt. Kenya Forest and National Park","","Kata","Location"
15674,118,"KEN","Kenya",1,"Central",6,"Nyeri",29,"Mukurweini",115,"Gakindu","","Kata","Location"
15675,118,"KEN","Kenya",1,"Central",6,"Nyeri",29,"Mukurweini",116,"Gikondi","","Kata","Location"
15676,118,"KEN","Kenya",1,"Central",6,"Nyeri",29,"Mukurweini",117,"Githii","","Kata","Location"
15677,118,"KEN","Kenya",1,"Central",6,"Nyeri",29,"Mukurweini",118,"Muhito","","Kata","Location"
15678,118,"KEN","Kenya",1,"Central",6,"Nyeri",29,"Mukurweini",119,"Rutune","","Kata","Location"
15679,118,"KEN","Kenya",1,"Central",6,"Nyeri",30,"Municipality",120,"Kiganjo","","Kata","Location"
15680,118,"KEN","Kenya",1,"Central",6,"Nyeri",30,"Municipality",121,"Mukaro","","Kata","Location"
15681,118,"KEN","Kenya",1,"Central",6,"Nyeri",31,"Othaya",122,"Chinga","","Kata","Location"
15682,118,"KEN","Kenya",1,"Central",6,"Nyeri",31,"Othaya",123,"Iriaini","","Kata","Location"
15683,118,"KEN","Kenya",1,"Central",6,"Nyeri",31,"Othaya",124,"Karima","","Kata","Location"
15684,118,"KEN","Kenya",1,"Central",6,"Nyeri",31,"Othaya",125,"Mahiga","","Kata","Location"
15685,118,"KEN","Kenya",1,"Central",6,"Nyeri",32,"Tetu",126,"Aguthi","","Kata","Location"
15686,118,"KEN","Kenya",1,"Central",6,"Nyeri",32,"Tetu",127,"Muhoyas","","Kata","Location"
15687,118,"KEN","Kenya",1,"Central",6,"Nyeri",32,"Tetu",128,"Tetu","","Kata","Location"
15688,118,"KEN","Kenya",1,"Central",6,"Nyeri",32,"Tetu",129,"Thegenge","","Kata","Location"
15689,118,"KEN","Kenya",2,"Coast",7,"Kilifi",33,"Bahari",130,"Junju","","Kata","Location"
15690,118,"KEN","Kenya",2,"Coast",7,"Kilifi",33,"Bahari",131,"Mtwapa","","Kata","Location"
15691,118,"KEN","Kenya",2,"Coast",7,"Kilifi",33,"Bahari",132,"Ngerenya","","Kata","Location"
15692,118,"KEN","Kenya",2,"Coast",7,"Kilifi",33,"Bahari",133,"Roka","","Kata","Location"
15693,118,"KEN","Kenya",2,"Coast",7,"Kilifi",33,"Bahari",134,"Tezo","","Kata","Location"
15694,118,"KEN","Kenya",2,"Coast",7,"Kilifi",33,"Bahari",135,"Tukaungu/Mavueni","","Kata","Location"
15695,118,"KEN","Kenya",2,"Coast",7,"Kilifi",34,"Ganze",136,"Bamba","","Kata","Location"
15696,118,"KEN","Kenya",2,"Coast",7,"Kilifi",34,"Ganze",137,"Ganze","","Kata","Location"
15697,118,"KEN","Kenya",2,"Coast",7,"Kilifi",34,"Ganze",138,"Kauma","","Kata","Location"
15698,118,"KEN","Kenya",2,"Coast",7,"Kilifi",34,"Ganze",139,"Mwahera","","Kata","Location"
15699,118,"KEN","Kenya",2,"Coast",7,"Kilifi",34,"Ganze",140,"Ndigiria","","Kata","Location"
15700,118,"KEN","Kenya",2,"Coast",7,"Kilifi",34,"Ganze",141,"Sokoke","","Kata","Location"
15701,118,"KEN","Kenya",2,"Coast",7,"Kilifi",34,"Ganze",142,"Vitengeni","","Kata","Location"
15702,118,"KEN","Kenya",2,"Coast",7,"Kilifi",35,"Kalolenli",143,"Chonyi","","Kata","Location"
15703,118,"KEN","Kenya",2,"Coast",7,"Kilifi",35,"Kalolenli",144,"Jibana","","Kata","Location"
15704,118,"KEN","Kenya",2,"Coast",7,"Kilifi",35,"Kalolenli",145,"Kaloleni","","Kata","Location"
15705,118,"KEN","Kenya",2,"Coast",7,"Kilifi",35,"Kalolenli",146,"Kambe/Ribe","","Kata","Location"
15706,118,"KEN","Kenya",2,"Coast",7,"Kilifi",35,"Kalolenli",147,"Kayafungo","","Kata","Location"
15707,118,"KEN","Kenya",2,"Coast",7,"Kilifi",35,"Kalolenli",148,"Mariakani","","Kata","Location"
