"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
43016,118,"KEN","Kenya",2,"Coast",10,"Mombasa",48,"Kisauni","","","Tarafa|Taarafa","Division"
43017,118,"KEN","Kenya",2,"Coast",10,"Mombasa",49,"Likoni","","","Tarafa|Taarafa","Division"
43018,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",50,"Mwatate","","","Tarafa|Taarafa","Division"
43019,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",51,"Taveta","","","Tarafa|Taarafa","Division"
43020,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",52,"Tsavo National Park (E&W)","","","Tarafa|Taarafa","Division"
43021,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",53,"Voi","","","Tarafa|Taarafa","Division"
43022,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",54,"Wundanyi","","","Tarafa|Taarafa","Division"
43023,118,"KEN","Kenya",2,"Coast",12,"Tana River",55,"Bura","","","Tarafa|Taarafa","Division"
43024,118,"KEN","Kenya",2,"Coast",12,"Tana River",56,"Galole","","","Tarafa|Taarafa","Division"
43025,118,"KEN","Kenya",2,"Coast",12,"Tana River",57,"Garsen","","","Tarafa|Taarafa","Division"
43026,118,"KEN","Kenya",2,"Coast",12,"Tana River",58,"Madogo","","","Tarafa|Taarafa","Division"
43027,118,"KEN","Kenya",3,"Eastern",13,"Embu",59,"Gachoka","","","Tarafa|Taarafa","Division"
43028,118,"KEN","Kenya",3,"Eastern",13,"Embu",60,"Manyatta","","","Tarafa|Taarafa","Division"
43029,118,"KEN","Kenya",3,"Eastern",13,"Embu",61,"Mt. Kenya Forest","","","Tarafa|Taarafa","Division"
43030,118,"KEN","Kenya",3,"Eastern",13,"Embu",62,"Runyenjes","","","Tarafa|Taarafa","Division"
43031,118,"KEN","Kenya",3,"Eastern",13,"Embu",63,"Siagako","","","Tarafa|Taarafa","Division"
43032,118,"KEN","Kenya",3,"Eastern",14,"Isiolo",64,"Central","","","Tarafa|Taarafa","Division"
43033,118,"KEN","Kenya",3,"Eastern",14,"Isiolo",65,"Garba Tulla","","","Tarafa|Taarafa","Division"
43034,118,"KEN","Kenya",3,"Eastern",14,"Isiolo",66,"Merti","","","Tarafa|Taarafa","Division"
43035,118,"KEN","Kenya",3,"Eastern",14,"Isiolo",67,"Sericho","","","Tarafa|Taarafa","Division"
43036,118,"KEN","Kenya",3,"Eastern",15,"Kitui",68,"Central","","","Tarafa|Taarafa","Division"
43037,118,"KEN","Kenya",3,"Eastern",15,"Kitui",69,"Kwa-Vonza","","","Tarafa|Taarafa","Division"
43038,118,"KEN","Kenya",3,"Eastern",15,"Kitui",70,"Kyuso","","","Tarafa|Taarafa","Division"
43039,118,"KEN","Kenya",3,"Eastern",15,"Kitui",71,"Mutito","","","Tarafa|Taarafa","Division"
43040,118,"KEN","Kenya",3,"Eastern",15,"Kitui",72,"Mutomo","","","Tarafa|Taarafa","Division"
43041,118,"KEN","Kenya",3,"Eastern",15,"Kitui",73,"Mwingi","","","Tarafa|Taarafa","Division"
43042,118,"KEN","Kenya",3,"Eastern",16,"Machakos",74,"Central","","","Tarafa|Taarafa","Division"
43043,118,"KEN","Kenya",3,"Eastern",16,"Machakos",75,"Kangundo","","","Tarafa|Taarafa","Division"
43044,118,"KEN","Kenya",3,"Eastern",16,"Machakos",76,"Kathiani","","","Tarafa|Taarafa","Division"
43045,118,"KEN","Kenya",3,"Eastern",16,"Machakos",77,"Masinga","","","Tarafa|Taarafa","Division"
43046,118,"KEN","Kenya",3,"Eastern",16,"Machakos",78,"Mwala","","","Tarafa|Taarafa","Division"
43047,118,"KEN","Kenya",3,"Eastern",16,"Machakos",79,"Yatta","","","Tarafa|Taarafa","Division"
43048,118,"KEN","Kenya",3,"Eastern",17,"Makueni",80,"Kibwezi","","","Tarafa|Taarafa","Division"
43049,118,"KEN","Kenya",3,"Eastern",17,"Makueni",81,"Kilome","","","Tarafa|Taarafa","Division"
43050,118,"KEN","Kenya",3,"Eastern",17,"Makueni",82,"Makueni","","","Tarafa|Taarafa","Division"
43051,118,"KEN","Kenya",3,"Eastern",17,"Makueni",83,"Mbooni","","","Tarafa|Taarafa","Division"
43052,118,"KEN","Kenya",3,"Eastern",17,"Makueni",84,"Tsavo West National Park","","","Tarafa|Taarafa","Division"
43053,118,"KEN","Kenya",3,"Eastern",18,"Marsabit",85,"Central","","","Tarafa|Taarafa","Division"
43054,118,"KEN","Kenya",3,"Eastern",18,"Marsabit",86,"Laisamis","","","Tarafa|Taarafa","Division"
43055,118,"KEN","Kenya",3,"Eastern",18,"Marsabit",87,"Loiyangalani","","","Tarafa|Taarafa","Division"
43056,118,"KEN","Kenya",3,"Eastern",18,"Marsabit",88,"Moyale","","","Tarafa|Taarafa","Division"
43057,118,"KEN","Kenya",3,"Eastern",18,"Marsabit",89,"North Horr","","","Tarafa|Taarafa","Division"
43058,118,"KEN","Kenya",3,"Eastern",18,"Marsabit",90,"Sololo","","","Tarafa|Taarafa","Division"
43059,118,"KEN","Kenya",3,"Eastern",19,"Meru",91,"Central Imenti","","","Tarafa|Taarafa","Division"
43060,118,"KEN","Kenya",3,"Eastern",19,"Meru",92,"Igembe","","","Tarafa|Taarafa","Division"
43061,118,"KEN","Kenya",3,"Eastern",19,"Meru",93,"Meru National Park","","","Tarafa|Taarafa","Division"
43062,118,"KEN","Kenya",3,"Eastern",19,"Meru",94,"Mount Kenya Forest","","","Tarafa|Taarafa","Division"
43063,118,"KEN","Kenya",3,"Eastern",19,"Meru",95,"North Imenti","","","Tarafa|Taarafa","Division"
43064,118,"KEN","Kenya",3,"Eastern",19,"Meru",96,"Ntonyiri","","","Tarafa|Taarafa","Division"
43065,118,"KEN","Kenya",3,"Eastern",19,"Meru",97,"South Imenti","","","Tarafa|Taarafa","Division"
43066,118,"KEN","Kenya",3,"Eastern",19,"Meru",98,"Tigania","","","Tarafa|Taarafa","Division"
43067,118,"KEN","Kenya",3,"Eastern",19,"Meru",99,"Timau","","","Tarafa|Taarafa","Division"
43068,118,"KEN","Kenya",3,"Eastern",20,"Nithi",100,"Mount Kenya Forest","","","Tarafa|Taarafa","Division"
43069,118,"KEN","Kenya",3,"Eastern",20,"Nithi",101,"Nithi","","","Tarafa|Taarafa","Division"
43070,118,"KEN","Kenya",3,"Eastern",20,"Nithi",102,"Tharaka","","","Tarafa|Taarafa","Division"
43071,118,"KEN","Kenya",3,"Eastern",21,"Wajir",103,"Bute","","","Tarafa|Taarafa","Division"
43072,118,"KEN","Kenya",4,"Nairobi",22,"Nairobi",104,"Central","","","Tarafa|Taarafa","Division"
43073,118,"KEN","Kenya",4,"Nairobi",22,"Nairobi",105,"Dagoretti","","","Tarafa|Taarafa","Division"
43074,118,"KEN","Kenya",4,"Nairobi",22,"Nairobi",106,"Embakasi","","","Tarafa|Taarafa","Division"
43075,118,"KEN","Kenya",4,"Nairobi",22,"Nairobi",107,"Kasarani","","","Tarafa|Taarafa","Division"
43076,118,"KEN","Kenya",4,"Nairobi",22,"Nairobi",108,"Kibera","","","Tarafa|Taarafa","Division"
43077,118,"KEN","Kenya",4,"Nairobi",22,"Nairobi",109,"Makadara","","","Tarafa|Taarafa","Division"
43078,118,"KEN","Kenya",4,"Nairobi",22,"Nairobi",110,"Parklands/Westlands","","","Tarafa|Taarafa","Division"
43079,118,"KEN","Kenya",4,"Nairobi",22,"Nairobi",111,"Pumwani","","","Tarafa|Taarafa","Division"
43080,118,"KEN","Kenya",5,"North-Eastern",23,"Garissa",112,"Bura","","","Tarafa|Taarafa","Division"
43081,118,"KEN","Kenya",5,"North-Eastern",23,"Garissa",113,"Central","","","Tarafa|Taarafa","Division"
